address,x11,x12,x21,x22,x23,x24,x31,x32,x41,x42,x43,x51,x52,x61,x71,x72,label
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,850,797,758,753,754,769,756,734,724,850,850,300,0,300,617,690,4
0x147762966341a83771d8403852ccc9f2784b88ca,300,300,690,690,690,690,300,300,612,850,850,0,0,300,300,690,4
0x1f5f902be1f635b30425b690aa9fd5fa2b6fa79c,850,770,741,722,700,710,778,706,660,850,850,300,300,300,616,690,4
0x1f84ca2c0a406b32e083e4e41032fd148364df48,850,778,690,678,672,300,300,300,630,850,850,300,300,373,616,690,4
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,850,761,764,759,768,782,786,762,724,850,850,300,300,300,617,690,4
0x2446beb3905cffbd2c5eb18f1f9c2996b05257c4,850,785,720,722,726,738,819,831,589,850,850,592,300,455,555,690,4
0x254747cb22df3daa0adf1b9a81697662ada44cd5,580,737,759,751,756,749,799,740,661,850,850,300,0,300,616,690,4
0x295e5ee985246cfd09b615f8706854600084c529,850,821,300,300,300,300,300,300,656,850,850,300,300,849,625,690,4
0x389135c984febdbb310adaf23a690dc28c8fa62b,850,799,300,300,300,300,300,300,850,850,850,300,0,300,616,690,4
0x4188663a85c92eea35b5ad3aa5ca7ceb237c6fe9,850,815,300,300,300,300,300,300,762,850,850,850,300,843,623,690,4
0x45c2700a0b0e84fffffc74dbe4ca415bc940f93d,300,695,300,300,300,300,300,300,728,850,850,300,0,300,300,690,4
0x4ef2ab73ef2214ebeba6f087a8dcf89731504301,850,801,300,300,300,300,733,680,810,850,850,300,0,300,617,690,4
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,850,802,703,701,707,710,766,674,725,850,850,300,0,300,616,690,4
0x56479eb3943b9f44d4149260019872fb1e7598f1,850,757,720,709,718,300,798,690,614,850,850,300,0,300,623,690,4
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,850,711,741,732,734,731,779,734,728,850,850,300,0,300,616,690,4
0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,300,300,690,690,690,690,300,300,724,850,850,0,0,300,300,690,4
0x6dab3bcbfb336b29d06b9c793aef7eaa57888922,850,843,690,678,672,300,788,685,776,850,850,300,0,300,623,690,4
0x7132ad0a72b5ba50bdaa005fad19caae029ae699,850,800,713,709,718,722,789,685,718,850,850,300,300,677,616,690,4
0x7ccbb89862f5ca9a83562aa6cb8af686c89a3701,300,791,700,701,690,690,762,690,612,850,850,300,0,300,300,690,4
0x86d888c3fa8a7f67452ef2eccc1c5ee9751ec8d6,850,795,718,711,718,731,802,726,689,850,850,300,0,300,616,690,4
0x8a610c1c93da88c59f51a6264a4c70927814b320,300,300,690,690,690,690,300,300,721,850,850,0,0,300,300,690,4
0x8a8743afc23769d5b27fb22af510da3147bb9a55,300,705,696,696,690,710,300,300,783,850,850,300,300,300,300,690,4
0xa5f7a39e55d7878bc5bd754ee5d6bd7a7662355b,300,835,700,696,672,690,814,665,721,850,850,300,0,300,616,690,4
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,850,775,727,721,707,690,766,720,648,850,850,300,0,300,300,690,4
0xa8da8e082f35c40029211b5b068b0b83462399ee,300,300,690,690,690,690,300,300,850,850,850,0,0,300,300,690,4
0xb9982860b1ab88f14fe6f8394d51a3a88c0c90c3,850,776,725,696,700,710,801,713,658,850,850,300,300,300,617,690,4
0xbf891e7efcc98a8239385d3172ba10ad593c7886,850,772,765,760,760,782,810,768,671,850,850,300,300,300,623,690,4
0xc4a936b003bc223df757b35ee52f6da66b062935,850,790,300,300,300,300,300,300,724,850,850,300,300,300,625,690,4
0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff,300,717,679,678,300,300,300,300,724,850,850,300,0,300,583,690,4
0xcb1096e77d6eab734ffceced1fcd2d35ee6b8d15,850,813,300,300,300,300,300,300,780,850,850,300,300,850,616,690,4
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,300,769,734,738,748,760,782,717,724,850,850,300,0,300,617,690,4
0xcc4ea98876f3ee733712ac64137c34e637fc2dae,850,764,714,709,718,731,797,708,850,850,850,300,0,300,617,690,4
0xcce607a1e2e611987ec8edd9d8ecfa257d7aaefe,850,791,300,300,300,300,300,300,667,850,850,300,0,300,617,690,4
0xd3f699eacc59fbb87d82da9ff32809faa4c4d0b2,300,300,690,690,690,690,300,300,721,850,850,0,0,300,300,690,4
0xd505fce5cd73172f748a14fa7113696418362e97,300,300,690,690,690,690,300,300,850,850,850,0,0,300,300,690,4
0xdb1e24ec655b1a229008c7256e2633fa376f42b6,850,803,300,300,300,300,300,300,631,850,850,300,300,849,625,690,4
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,850,789,703,705,713,710,689,690,715,850,850,300,0,300,616,690,4
0xe4d3df079fbef6529c893ee4e9298711d480ff35,850,782,679,678,300,300,300,300,833,850,850,300,300,300,617,690,4
0xed0da42ef260bf6a739a7fb9dda720d5124298dc,850,786,741,733,739,753,817,743,672,850,850,300,0,300,616,690,4
0xed2fe678260843b45a327e9e3012d12c4602b11b,850,821,703,705,713,710,758,674,500,850,850,300,300,850,616,690,4
0xf078969e55cabf9ae3f26afeb5ec627b4430f19e,850,814,717,709,700,710,300,649,575,850,850,300,300,850,623,690,4
0xf352db97c5a2ff55453745c195b806f50382ee06,300,300,690,690,690,690,300,300,850,850,850,0,0,300,300,690,4
0x000000aaee6a496aaf7b7452518781786313400f,300,688,300,300,300,300,300,300,808,850,850,300,300,300,300,690,2
0x000000d66feacd746d0f9a9e4a500a9241c8f446,850,762,724,678,300,300,800,734,672,850,850,300,0,300,616,690,2
0x00000639caea2f4991b946c1f68686e4df700000,850,728,300,300,300,300,300,300,721,850,850,300,0,300,616,690,2
0x000076a33ef6a2027f01f73f7dbb122a8f31f61d,300,713,706,678,300,300,300,649,710,850,850,300,0,300,616,690,2
0x0006e4548aed4502ec8c844567840ce6ef1013f5,300,668,300,300,300,300,300,300,850,850,850,300,300,300,300,690,2
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,310,750,300,300,300,300,300,300,736,850,850,300,0,300,616,690,2
0x009b6817807c332b9445f5c9cf2ac94631fe876e,475,723,300,300,300,300,300,300,813,850,850,300,0,300,617,690,2
0x02bd4446d6cd972a2000ba6b7960b5e87e88266f,300,699,300,300,300,300,300,300,785,850,850,300,300,300,300,690,2
0x032e7b7844af956448f5fdfbd23834952b60678a,300,643,300,300,300,300,300,300,821,850,850,300,300,300,300,690,2
0x042523db4f3effc33d2742022b2490258494f8b3,850,751,732,678,300,300,446,850,850,850,850,300,0,300,616,690,2
0x0501be0da35990fbf5c434c29186a7966846c0d5,300,715,703,705,707,710,633,665,708,850,850,300,300,300,493,690,2
0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,850,751,732,678,300,300,445,850,850,850,850,300,0,300,616,690,2
0x06e64c7b3e1e9dc31aca77068ce0d6dafa55a4ea,300,671,679,678,300,300,300,300,631,850,850,300,0,300,300,690,2
0x06fda5b767c8b6171045e6549aab369a9dea36fc,300,703,718,678,300,300,300,708,703,850,850,300,0,300,300,690,2
0x072e952823a0e9b8f5d5c454c772a1a84d5c15e7,300,674,300,300,300,300,300,300,850,850,850,300,300,506,300,690,2
0x0aa5dcf11899ba2374237abb537023ddb746255b,300,708,300,300,300,300,300,300,713,850,850,300,0,300,616,690,2
0x0c4b47d7eb199e6ed3bf0af6fe2ab33df7faeeeb,300,668,300,300,300,300,300,300,850,850,850,300,300,300,300,690,2
0x0cac3d1a887206e0f6169222c4504301a8b4b993,850,751,732,678,300,300,447,850,850,850,850,300,0,300,616,690,2
